Target,Content,Well,Sample,Sex,Life_Status,Life_Stage_Code,Life_Stage,Cq,Cq.Mean,Delta.Cq,Cq.Std..Dev,SQ,Log.Starting.Quantity,SQ.Mean,SQ.Std.Dev,Copy_Number,CN.norm
IGF2,Unkn-03,C5,50L,M,Animal,5,Day 0,28.63604139,28.7769373,0.14089591,0.581407021,1195.409155,3.077516577,1459.854061,661.5987296,39846.97183,-164082.5269
EEF2,Unkn-03,C6,50L,M,Animal,5,Day 0,27.19012368,27.06574329,0.124380395,0.270572961,5064.971086,3.70457697,6272.69248,1292.099334,168832.3695,
IGF1,Unkn-03,C6,50L,M,Animal,5,Day 0,35.15090848,34.47592204,0.674986445,3.501290901,9.000127149,0.954248645,361.7812627,598.3092545,300.0042383,-168532.3653
IGF2,Unkn-03,C6,50L,M,Animal,5,Day 0,28.91783321,28.7769373,0.14089591,0.581407021,971.379689,2.987389018,1459.854061,661.5987296,32379.32297,-136453.0465
EEF2,Unkn-16,H7,65L,F,Animal,5,Day 0,26.65902812,26.62946442,0.0295637,0.043175124,7409.877107,3.869811005,7580.836712,250.7176536,246995.9036,
IGF1,Unkn-16,H7,65L,F,Animal,5,Day 0,34.92534926,35.086901,0.16155174,0.146899838,11.7620739,1.070483904,10.52044912,1.12080146,392.06913,-246603.8345
IGF2,Unkn-16,H7,65L,F,Animal,5,Day 0,28.6981331,28.64103318,0.05709992,0.061935687,1152.797998,3.061753214,1203.141029,55.11886395,38426.59993,-208569.3037
EEF2,Unkn-16,H8,65L,F,Animal,5,Day 0,26.64944722,26.62946442,0.0199828,0.043175124,7463.982749,3.872970627,7580.836712,250.7176536,248799.425,
IGF1,Unkn-16,H8,65L,F,Animal,5,Day 0,35.12289584,35.086901,0.03599484,0.146899838,10.21581996,1.00927323,10.52044912,1.12080146,340.527332,-248458.8977
IGF2,Unkn-16,H8,65L,F,Animal,5,Day 0,28.64977569,28.64103318,0.00874251,0.061935687,1194.589057,3.077218532,1203.141029,55.11886395,39819.63523,-208979.7898
EEF2,Unkn-16,H9,65L,F,Animal,5,Day 0,26.5799179,26.62946442,0.04954652,0.043175124,7868.650278,3.895900244,7580.836712,250.7176536,262288.3426,
IGF1,Unkn-16,H9,65L,F,Animal,5,Day 0,35.21245789,35.086901,0.12555689,0.146899838,9.583453497,0.98152204,10.52044912,1.12080146,319.4484499,-261968.8942
IGF2,Unkn-16,H9,65L,F,Animal,5,Day 0,28.57519074,28.64103318,0.06584244,0.061935687,1262.036032,3.101071754,1203.141029,55.11886395,42067.86773,-220220.4749
EEF2,Unkn-07,G4,EDBP14,NA,Embryo,3,Stage 16,26.4115841,26.34255241,0.06903169,0.066472435,8941.573228,3.951413938,9430.776308,474.4081798,298052.4409,
IGF1,Unkn-07,G4,EDBP14,NA,Embryo,3,Stage 16,33.33165244,33.28374901,0.04790343,0.099383574,36.66889625,1.564297838,38.00826108,2.745751019,1222.296542,1222.296542
IGF2,Unkn-07,G4,EDBP14,NA,Embryo,3,Stage 16,32.37590032,32.4103296,0.03442928,0.139482411,76.83447231,1.885556113,75.17146549,7.572559295,2561.149077,-295491.2918
EEF2,Unkn-07,G5,EDBP14,NA,Embryo,3,Stage 16,26.27897535,26.34255241,0.06357706,0.066472435,9888.857076,3.9951461,9430.776308,474.4081798,329628.5692,
IGF1,Unkn-07,G5,EDBP14,NA,Embryo,3,Stage 16,33.1694865,33.28374901,0.11426251,0.099383574,41.16666306,1.614545665,38.00826108,2.745751019,1372.222102,1372.222102
IGF2,Unkn-07,G5,EDBP14,NA,Embryo,3,Stage 16,32.56380249,32.4103296,0.15347289,0.139482411,66.90561876,1.825462592,75.17146549,7.572559295,2230.187292,-327398.3819
EEF2,Unkn-07,G6,EDBP14,NA,Embryo,3,Stage 16,26.33709777,26.34255241,0.00545464,0.066472435,9461.89862,3.97597829,9430.776308,474.4081798,315396.6207,
IGF1,Unkn-07,G6,EDBP14,NA,Embryo,3,Stage 16,33.3501081,33.28374901,0.06635909,0.099383574,36.18922394,1.55857927,38.00826108,2.745751019,1206.307465,1206.307465
IGF2,Unkn-07,G6,EDBP14,NA,Embryo,3,Stage 16,32.29128598,32.4103296,0.11904362,0.139482411,81.77430539,1.912616864,75.17146549,7.572559295,2725.81018,-312670.8105
EEF2,Unkn-13,E7,EDBP15,NA,Embryo,3,Stage 16,30.15654586,30.03111799,0.12542787,0.132708586,520.4604342,2.71638772,563.6249769,58.09197592,17348.68114,
IGF1,Unkn-13,E7,EDBP15,NA,Embryo,3,Stage 16,36.01008118,35.87757674,0.132504445,0.495119158,5.424690588,0.734374972,7.576584142,2.806761889,180.8230196,180.8230196
IGF2,Unkn-13,E7,EDBP15,NA,Embryo,3,Stage 16,34.12898712,34.12398564,0.00500148,0.250485118,21.12985345,1.324896485,23.8683287,4.608549623,704.3284483,-16644.35269
EEF2,Unkn-13,E9,EDBP15,NA,Embryo,3,Stage 16,29.90569012,30.03111799,0.12542787,0.132708586,629.6740264,2.799115779,563.6249769,58.09197592,20989.13421,
IGF1,Unkn-13,E9,EDBP15,NA,Embryo,3,Stage 16,35.74507229,35.87757674,0.132504445,0.495119158,6.55373891,0.816489136,7.576584142,2.806761889,218.4579637,218.4579637
IGF2,Unkn-13,E9,EDBP15,NA,Embryo,3,Stage 16,34.11898416,34.12398564,0.00500148,0.250485118,21.28607361,1.32809556,23.8683287,4.608549623,709.535787,-20279.59842
EEF2,Unkn-06,F5,EDBP43,NA,Embryo,3,Stage 16,25.83481606,25.64210047,0.192715595,0.556895831,14173.1031,4.151464946,21926.23636,9564.537696,472436.77,
IGF1,Unkn-06,F5,EDBP43,NA,Embryo,3,Stage 16,32.51036195,32.5617015,0.05133955,0.37850282,60.03759586,1.778423293,69.36310905,19.96551183,2001.253195,2001.253195
